LAT,LON,CONC
59DD31MM22,09DD17MM42SS,1
59DD29MM51,09DD18MM47SS,12
59DD26MM37,09DD18MM37SS,220
59DD22MM28,09DD14MM47SS,34
59DD16MM19,09DD23MM12SS,1389
59DD07MM12,09DD36MM44SS,12
59DD09MM20,09DD53MM54SS,3
59DD06MM18,09DD57MM18SS,18900
59DD04MM54,10DD00MM13SS,45
59DD23MM26,08DD25MM45SS,89040
59DD24MM45,08DD12MM19SS,456
59DD26MM30,08DD01MM52SS,7890
59DD23MM29,07DD45MM42SS,76290
58DD41MM51,07DD47MM56SS,23934
58DD53MM59,07DD43MM18SS,1203
59DD10MM38,07DD31MM30SS,9890
58DD59MM25,06DD55MM23SS,1289
58DD57MM12,06DD55MM26SS,178
58DD55MM16,06DD45MM20SS,88
