Sample	Cq	SQ	sample_rep	tech_rep	station	innsjo	fylke	volum	SQ_vol
566	34.0246601557467	2.59825324266754e-4	1	1	10	Virikbekken	Vestfold	105	2.4745268977786095e-6
566	34.5035947641915	1.9385096955559e-4	1	2	10	Virikbekken	Vestfold	105	1.8461997100532381e-6
566	33.9065803133371	2.79283688765537e-4	1	3	10	Virikbekken	Vestfold	105	2.6598446549098764e-6
566	34.1471201293877	2.41075981527746e-4	1	4	10	Virikbekken	Vestfold	105	2.295961728835676e-6
566	34.0826113922069	2.50777520954938e-4	1	5	10	Virikbekken	Vestfold	105	2.3883573424279807e-6
566	34.8353534104367	1.58251201103212e-4	1	6	10	Virikbekken	Vestfold	105	1.5071542962210667e-6
565	34.2241092688259	2.29987518259472e-4	2	1	10	Virikbekken	Vestfold	110	2.0907956205406545e-6
565	34.0888081320895	2.49828880109146e-4	2	2	10	Virikbekken	Vestfold	110	2.2711716373558727e-6
565	34.0271487785827	2.59430155363505e-4	2	3	10	Virikbekken	Vestfold	110	2.3584559578500456e-6
565	34.667128756714	1.75400350748697e-4	2	4	10	Virikbekken	Vestfold	110	1.5945486431699727e-6
565	34.1682058670522	2.37986980515277e-4	2	5	10	Virikbekken	Vestfold	110	2.1635180046843363e-6
565	34.9794899246848	1.44897805526629e-4	2	6	10	Virikbekken	Vestfold	110	1.317252777514809e-6
564	36.7687326671946	4.85073219835907e-5	3	1	10	Virikbekken	Vestfold	125	3.880585758687256e-7
564	36.9185270777921	4.42607994946064e-5	3	2	10	Virikbekken	Vestfold	125	3.540863959568512e-7
564	35.5522624942646	1.02075916027039e-4	3	3	10	Virikbekken	Vestfold	125	8.16607328216312e-7
564	35.1428414913962	1.31121148217066e-4	3	4	10	Virikbekken	Vestfold	125	1.048969185736528e-6
564	34.0125982881163	2.61749176068627e-4	3	5	10	Virikbekken	Vestfold	125	2.093993408549016e-6
564	34.6138989372071	1.8120460851966e-4	3	6	10	Virikbekken	Vestfold	125	1.44963686815728e-6
563	31.0107799760361	0.00164142613785248	1	1	9	Virikbekken	Vestfold	115	1.4273270763934608e-5
563	31.0102582961639	0.00164194994012943	1	2	9	Virikbekken	Vestfold	115	1.427782556634287e-5
563	31.1136553457511	0.00154133069592991	1	3	9	Virikbekken	Vestfold	115	1.3402875616781826e-5
563	31.0254774348884	0.00162673735609012	1	4	9	Virikbekken	Vestfold	115	1.4145542226870608e-5
563	30.7982595965586	0.00186926345478325	1	5	9	Virikbekken	Vestfold	115	1.6254464824202173e-5
563	30.8597047426432	0.00180031955198947	1	6	9	Virikbekken	Vestfold	115	1.565495262599539e-5
562	30.667024590667	0.00202548417022086	2	1	9	Virikbekken	Vestfold	115	1.761290582800748e-5
562	30.6540010662211	0.00204168214957624	2	2	9	Virikbekken	Vestfold	115	1.7753757822402085e-5
562	30.4553521225645	0.00230543458361827	2	3	9	Virikbekken	Vestfold	115	2.0047257248854522e-5
562	30.5284585888682	0.00220462350582149	2	4	9	Virikbekken	Vestfold	115	1.9170639181056432e-5
562	30.5612909273298	0.00216079508807747	2	5	9	Virikbekken	Vestfold	115	1.8789522505021477e-5
562	30.5487563667359	0.00217742389661475	2	6	9	Virikbekken	Vestfold	115	1.893412084012826e-5
561	30.3541918206046	0.00245257766305546	3	1	9	Virikbekken	Vestfold	125	1.962062130444368e-5
561	30.0311732823548	0.00298828630108451	3	2	9	Virikbekken	Vestfold	125	2.3906290408676078e-5
561	30.2974565139321	0.00253917520895845	3	3	9	Virikbekken	Vestfold	125	2.0313401671667597e-5
561	30.2517204242186	0.00261120508830405	3	4	9	Virikbekken	Vestfold	125	2.08896407064324e-5
561	30.0131696175697	0.00302137266428068	3	5	9	Virikbekken	Vestfold	125	2.417098131424544e-5
561	30.0684907545895	0.00292085517237983	3	6	9	Virikbekken	Vestfold	125	2.336684137903864e-5
560	31.6889083104339	0.001084172703121	1	1	8	Virikbekken	Vestfold	120	9.034772526008333e-6
560	31.5833498569253	0.00115647609557716	1	2	8	Virikbekken	Vestfold	120	9.637300796476332e-6
560	31.9055062973861	9.49655774547762e-4	1	3	8	Virikbekken	Vestfold	120	7.91379812123135e-6
560	31.5395310112335	0.00118788861651	1	4	8	Virikbekken	Vestfold	120	9.89907180425e-6
560	31.9450055436516	9.26988860161758e-4	1	5	8	Virikbekken	Vestfold	120	7.72490716801465e-6
