Sample	Cq	SQ	sample_rep	tech_rep	station	innsjo	fylke	volum	SQ_vol
566	NaN	NA	1	1	10	Virikbekken	Vestfold	105	NA
566	NaN	NA	1	2	10	Virikbekken	Vestfold	105	NA
566	NaN	NA	1	3	10	Virikbekken	Vestfold	105	NA
566	NaN	NA	1	4	10	Virikbekken	Vestfold	105	NA
566	NaN	NA	1	5	10	Virikbekken	Vestfold	105	NA
566	35.4457776632448	8.18592981279765e-5	1	6	10	Virikbekken	Vestfold	105	7.796123631235858e-7
565	NaN	NA	2	1	10	Virikbekken	Vestfold	110	NA
565	NaN	NA	2	2	10	Virikbekken	Vestfold	110	NA
565	NaN	NA	2	3	10	Virikbekken	Vestfold	110	NA
565	37.810681324802	1.65172799829797e-5	2	4	10	Virikbekken	Vestfold	110	1.5015709075436092e-7
565	NaN	NA	2	5	10	Virikbekken	Vestfold	110	NA
565	NaN	NA	2	6	10	Virikbekken	Vestfold	110	NA
564	36.4343323867775	4.19272661280864e-5	3	1	10	Virikbekken	Vestfold	125	3.354181290246912e-7
564	34.8013782014175	1.26613492610404e-4	3	2	10	Virikbekken	Vestfold	125	1.012907940883232e-6
564	34.1146236888918	2.01530888849398e-4	3	3	10	Virikbekken	Vestfold	125	1.612247110795184e-6
564	38.0095539035442	1.44371939411385e-5	3	4	10	Virikbekken	Vestfold	125	1.15497551529108e-7
564	35.403897965525	8.42127699730234e-5	3	5	10	Virikbekken	Vestfold	125	6.737021597841871e-7
564	32.1799721854829	7.46456768366526e-4	3	6	10	Virikbekken	Vestfold	125	5.9716541469322074e-6
563	NaN	NA	1	1	9	Virikbekken	Vestfold	115	NA
563	NaN	NA	1	2	9	Virikbekken	Vestfold	115	NA
563	35.9937252732993	5.64945666607232e-5	1	3	9	Virikbekken	Vestfold	115	4.91257101397593e-7
563	37.4165225971807	2.15673025565559e-5	1	4	9	Virikbekken	Vestfold	115	1.8754176136135567e-7
563	NaN	NA	1	5	9	Virikbekken	Vestfold	115	NA
563	NaN	NA	1	6	9	Virikbekken	Vestfold	115	NA
562	NaN	NA	2	1	9	Virikbekken	Vestfold	115	NA
562	36.7203685923467	3.45477929522864e-5	2	2	9	Virikbekken	Vestfold	115	3.0041559088944693e-7
562	36.4389265078697	4.17971018194058e-5	2	3	9	Virikbekken	Vestfold	115	3.6345305929918085e-7
562	NaN	NA	2	4	9	Virikbekken	Vestfold	115	NA
562	NaN	NA	2	5	9	Virikbekken	Vestfold	115	NA
562	NaN	NA	2	6	9	Virikbekken	Vestfold	115	NA
561	36.1204335308396	5.18516532615398e-5	3	1	9	Virikbekken	Vestfold	125	4.1481322609231843e-7
561	35.3611216277343	8.66864949368307e-5	3	2	9	Virikbekken	Vestfold	125	6.934919594946456e-7
561	35.1941827327902	9.70556304717654e-5	3	3	9	Virikbekken	Vestfold	125	7.764450437741232e-7
561	34.1364317799639	1.9857814296454e-4	3	4	9	Virikbekken	Vestfold	125	1.58862514371632e-6
561	35.682506115954	6.97405046886529e-5	3	5	9	Virikbekken	Vestfold	125	5.579240375092231e-7
561	35.1617681087631	9.92084235369715e-5	3	6	9	Virikbekken	Vestfold	125	7.93667388295772e-7
560	NaN	NA	1	1	8	Virikbekken	Vestfold	120	NA
560	NaN	NA	1	2	8	Virikbekken	Vestfold	120	NA
560	33.6533552475884	2.75375220391638e-4	1	3	8	Virikbekken	Vestfold	120	2.29479350326365e-6
560	36.1279054946045	5.15900954856811e-5	1	4	8	Virikbekken	Vestfold	120	4.2991746238067586e-7
560	43.1386883012724	4.48587695175983e-7	1	5	8	Virikbekken	Vestfold	120	3.738230793133192e-9
560	34.7304280716901	1.32841802901622e-4	1	6	8	Virikbekken	Vestfold	120	1.1070150241801834e-6
559	36.0048884817645	5.60693364975334e-5	2	1	8	Virikbekken	Vestfold	135	4.1532841850024737e-7
559	35.6771891430957	6.99919242899717e-5	2	2	8	Virikbekken	Vestfold	135	5.184586984442348e-7
559	NaN	NA	2	3	8	Virikbekken	Vestfold	135	NA
559	NaN	NA	2	4	8	Virikbekken	Vestfold	135	NA
559	37.1807629268293	2.52984551579862e-5	2	5	8	Virikbekken	Vestfold	135	1.873959641332311e-7
559	NaN	NA	2	6	8	Virikbekken	Vestfold	135	NA
558	NaN	NA	3	1	8	Virikbekken	Vestfold	150	NA
558	NaN	NA	3	2	8	Virikbekken	Vestfold	150	NA
558	NaN	NA	3	3	8	Virikbekken	Vestfold	150	NA
558	NaN	NA	3	4	8	Virikbekken	Vestfold	150	NA
558	NaN	NA	3	5	8	Virikbekken	Vestfold	150	NA
558	NaN	NA	3	6	8	Virikbekken	Vestfold	150	NA
